iter	Passed	Remaining
895	4387	509
896	4391	504
897	4396	499
898	4401	494
899	4405	489
900	4409	484
901	4413	479
902	4417	474
903	4421	469
904	4427	464
905	4431	459
906	4437	454
907	4442	450
908	4450	445
909	4455	440
910	4465	436
911	4470	431
912	4479	426
913	4485	422
914	4493	417
915	4501	412
916	4508	408
917	4513	403
918	4524	398
919	4532	394
920	4538	389
921	4546	384
922	4550	379
923	4556	374
924	4563	369
925	4567	364
926	4573	360
927	4581	355
928	4585	350
929	4593	345
930	4597	340
931	4602	335
932	4609	330
933	4614	326
934	4619	321
935	4625	316
936	4630	311
937	4635	306
938	4642	301
939	4647	296
940	4653	291
941	4659	286
942	4664	281
943	4670	277
944	4677	272
945	4681	267
946	4689	262
947	4695	257
948	4699	252
949	4706	247
950	4711	242
951	4715	237
952	4722	232
953	4729	228
954	4734	223
955	4740	218
956	4745	213
957	4750	208
958	4757	203
959	4761	198
960	4766	193
961	4773	188
962	4778	183
963	4782	178
964	4788	173
965	4794	168
966	4801	163
967	4810	159
968	4814	154
969	4825	149
970	4829	144
971	4836	139
972	4842	134
973	4846	129
974	4854	124
975	4858	119
976	4863	114
977	4870	109
978	4875	104
979	4879	99
980	4886	94
981	4891	89
982	4896	84
983	4902	79
984	4908	74
985	4912	69
986	4920	64
987	4925	59
988	4929	54
989	4937	49
990	4941	44
991	4947	39
992	4953	34
993	4957	29
994	4962	24
995	4969	19
996	4973	14
997	4978	9
998	4985	4
999	4989	0
